iso_code,continent,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,hospital_beds_per_thousand,life_expectancy,latitude,longitude,% of World Total Deaths,% of World Total Cases,% of World Population
USA,North America,United States,2022-05-03,79265726.0,958437.0,238095.936,2878.923,332915074,35.608,38.3,15.413,9.732,2.77,78.86,37.09024,-95.712891,15.995,17.817,4.245
IND,Asia,India,2022-05-03,42962953.0,515036.0,30832.98,369.623,1393409033,450.419,28.2,5.989,3.414,0.53,69.66,20.593684,78.96288,8.595,9.657,17.767
BRA,South America,Brazil,2022-05-03,29040800.0,652216.0,135708.832,3047.832,213993441,25.04,33.5,8.552,5.06,2.2,75.88,-14.235004,-51.92528,10.885,6.528,2.729
FRA,Europe,France,2022-05-03,23064766.0,139312.0,342095.547,2066.269,67422000,122.578,42.0,19.718,13.079,5.98,82.66,46.227638,2.213749,2.325,5.184,0.86
GBR,Europe,United Kingdom,2022-05-03,19172095.0,162152.0,281086.442,2377.347,68207114,272.898,40.8,18.517,12.527,2.54,81.32,55.378051,-3.435973,2.706,4.309,0.87
RUS,Europe,Russia,2022-05-03,16619507.0,348467.0,113900.875,2388.199,145912022,8.823,39.6,14.178,9.393,8.05,72.58,61.52401,105.318756,5.815,3.736,1.861
DEU,Europe,Germany,2022-05-03,15830112.0,124107.0,188677.272,1479.217,83900471,237.016,46.6,21.453,15.957,8.0,81.33,51.165691,10.451526,2.071,3.558,1.07
TUR,Asia,Turkey,2022-05-03,14326217.0,95379.0,168459.032,1121.542,85042736,104.914,31.6,8.153,5.061,2.81,77.69,38.963745,35.243322,1.592,3.22,1.084
ITA,Europe,Italy,2022-05-03,12990223.0,155782.0,215185.808,2580.562,60367471,205.859,47.9,23.021,16.24,3.18,83.51,41.87194,12.56738,2.6,2.92,0.77
ESP,Europe,Spain,2022-05-03,11100428.0,100413.0,237466.636,2148.092,46745211,93.105,45.5,19.436,13.799,2.97,83.56,40.463667,-3.74922,1.676,2.495,0.596
ARG,South America,Argentina,2022-05-03,8934328.0,126708.0,195903.229,2778.329,45605823,16.177,31.9,11.198,7.441,5.0,76.67,-38.416097,-63.616672,2.115,2.008,0.582
IRN,Asia,Iran,2022-05-03,7084306.0,137747.0,83316.586,1620.005,85028760,49.831,32.4,5.44,3.182,1.5,76.68,32.427908,53.688046,2.299,1.592,1.084
NLD,Europe,Netherlands,2022-05-03,6734097.0,21714.0,392130.678,1264.42,17173094,508.544,43.2,18.779,11.881,3.32,82.28,52.132633,5.291266,0.362,1.514,0.219
COL,South America,Colombia,2022-05-03,6070616.0,139037.0,118414.443,2712.079,51265841,44.223,32.2,7.646,4.312,1.71,77.29,4.570868,-74.297333,2.32,1.365,0.654
POL,Europe,Poland,2022-05-03,5734041.0,112535.0,151706.247,2977.353,37797000,124.027,41.8,16.763,10.202,6.62,78.73,51.919438,19.145136,1.878,1.289,0.482
IDN,Asia,Indonesia,2022-05-03,5723858.0,149918.0,20711.467,542.47,276361788,145.725,29.3,5.319,3.053,1.04,71.72,-0.789275,113.921327,2.502,1.287,3.524
MEX,North America,Mexico,2022-05-03,5554392.0,319604.0,42640.084,2453.543,130262220,66.444,29.3,6.857,4.321,1.38,75.05,23.634501,-102.552784,5.334,1.248,1.661
JPN,Asia,Japan,2022-05-03,5341246.0,24816.0,42373.759,196.873,126050796,347.778,48.2,27.049,18.493,13.05,84.63,36.204824,138.252924,0.414,1.201,1.607
UKR,Europe,Ukraine,2022-05-03,5040518.0,112459.0,115962.423,2587.238,43466822,77.39,41.4,16.462,11.133,8.8,72.06,48.379433,31.16558,1.877,1.133,0.554
KOR,Asia,South Korea,2022-05-03,4456264.0,8957.0,86857.967,174.583,51305184,527.967,43.4,13.914,8.622,12.27,83.03,35.907757,127.766922,0.149,1.002,0.654
