iso_code,continent,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,hospital_beds_per_thousand,life_expectancy,latitude,longitude,% of World Total Deaths,% of World Total Cases,% of World Population
FSM,Oceania,Micronesia (country),2022-05-03,1.0,,8.602,,116255,150.777,23.0,4.81,2.392,,67.88,,,,0.0,0.001
COK,Oceania,Cook Islands,2022-05-03,2.0,,113.817,,17572,,,,,,76.25,-21.236736,-159.777671,,0.0,0.0
SHN,Africa,Saint Helena,2022-05-03,4.0,,656.276,,6095,,,,,,80.56,-24.143474,-10.030696,,0.0,0.0
MHL,Oceania,Marshall Islands,2022-05-03,7.0,,117.414,,59618,295.15,,,,2.7,73.7,7.131474,171.184478,,0.0,0.001
VUT,Oceania,Vanuatu,2022-05-03,18.0,1.0,57.24,3.18,314464,22.662,23.1,4.394,2.62,,70.47,-15.376706,166.959158,0.0,0.0,0.004
VAT,Europe,Vatican,2022-05-03,29.0,,35714.286,,812,,,,,,75.12,,,,0.0,0.0
WSM,Oceania,Samoa,2022-05-03,33.0,,164.881,,200144,69.413,22.0,5.606,3.564,,73.32,-13.759029,-172.104629,,0.0,0.003
FLK,South America,Falkland Islands,2022-05-03,115.0,,32596.372,,3528,,,,,,81.44,,,,0.0,0.0
MSR,North America,Montserrat,2022-05-03,164.0,2.0,32925.115,401.526,4981,,,,,,74.16,16.742498,-62.187366,0.0,0.0,0.0
WLF,Oceania,Wallis and Futuna,2022-05-03,454.0,7.0,40923.021,630.972,11094,,,,,,79.94,-13.768752,-177.156097,0.0,0.0,0.0
TON,Oceania,Tonga,2022-05-03,898.0,,8411.469,,106759,150.028,22.3,5.82,4.032,2.6,70.91,-21.178986,-175.198242,,0.0,0.001
SPM,North America,Saint Pierre and Miquelon,2022-05-03,1102.0,1.0,190954.774,173.28,5771,,,,,,81.07,46.941936,-56.27111,0.0,0.0,0.0
AIA,North America,Anguilla,2022-05-03,2555.0,9.0,168925.62,595.041,15125,,,,,,81.88,18.220554,-63.068615,0.0,0.001,0.0
KIR,Oceania,Kiribati,2022-05-03,2985.0,11.0,24590.569,90.619,121388,143.701,23.2,3.895,2.21,1.9,68.37,-3.370417,-168.734039,0.0,0.001,0.002
PLW,Oceania,Palau,2022-05-03,3844.0,6.0,211510.95,330.142,18174,47.237,,,,4.8,73.7,7.51498,134.58252,0.0,0.001,0.0
KNA,North America,Saint Kitts and Nevis,2022-05-03,5536.0,42.0,103387.741,784.372,53546,212.865,,,,2.3,76.23,17.357822,-62.782998,0.001,0.001,0.001
TCA,North America,Turks and Caicos Islands,2022-05-03,5867.0,36.0,149569.163,917.759,39226,37.312,,,,,80.22,21.694025,-71.797928,0.001,0.001,0.001
STP,Africa,Sao Tome and Principe,2022-05-03,5939.0,72.0,26588.886,322.344,223364,212.841,18.7,2.886,2.162,2.9,70.39,,,0.001,0.001,0.003
VGB,North America,British Virgin Islands,2022-05-03,6091.0,62.0,200210.367,2037.932,30423,207.973,,,,,79.07,18.420695,-64.639968,0.001,0.001,0.0
TCD,Africa,Chad,2022-05-03,7257.0,190.0,429.028,11.233,16914985,11.833,16.7,2.486,1.446,,54.24,15.454166,18.732207,0.003,0.002,0.216
