iso_code,continent,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,hospital_beds_per_thousand,life_expectancy,latitude,longitude,% of World Total Deaths,% of World Total Cases,% of World Population
SPM,North America,Saint Pierre and Miquelon,2022-05-03,1102.0,1.0,190954.774,173.28,5771,,,,,,81.07,46.941936,-56.27111,0.0,0.0,0.0
VUT,Oceania,Vanuatu,2022-05-03,18.0,1.0,57.24,3.18,314464,22.662,23.1,4.394,2.62,,70.47,-15.376706,166.959158,0.0,0.0,0.004
MSR,North America,Montserrat,2022-05-03,164.0,2.0,32925.115,401.526,4981,,,,,,74.16,16.742498,-62.187366,0.0,0.0,0.0
PLW,Oceania,Palau,2022-05-03,3844.0,6.0,211510.95,330.142,18174,47.237,,,,4.8,73.7,7.51498,134.58252,0.0,0.001,0.0
WLF,Oceania,Wallis and Futuna,2022-05-03,454.0,7.0,40923.021,630.972,11094,,,,,,79.94,-13.768752,-177.156097,0.0,0.0,0.0
BTN,Asia,Bhutan,2022-05-03,14451.0,7.0,18529.299,8.976,779900,21.188,28.6,4.885,2.977,1.7,71.78,27.514162,90.433601,0.0,0.003,0.01
AIA,North America,Anguilla,2022-05-03,2555.0,9.0,168925.62,595.041,15125,,,,,,81.88,18.220554,-63.068615,0.0,0.001,0.0
KIR,Oceania,Kiribati,2022-05-03,2985.0,11.0,24590.569,90.619,121388,143.701,23.2,3.895,2.21,1.9,68.37,-3.370417,-168.734039,0.0,0.001,0.002
CYM,North America,Cayman Islands,2022-05-03,19373.0,17.0,291332.07,255.647,66498,256.496,,,,,83.92,19.513469,-80.566956,0.0,0.004,0.001
GRL,North America,Greenland,2022-05-03,11806.0,20.0,207603.573,351.692,56868,0.137,,,,,71.7,71.706936,-42.604303,0.0,0.003,0.001
FRO,Europe,Faeroe Islands,2022-05-03,34658.0,28.0,706541.904,570.811,49053,35.308,,,,,80.67,,,0.0,0.008,0.001
BES,North America,Bonaire Sint Eustatius and Saba,2022-05-03,7616.0,31.0,287993.95,1172.244,26445,,,,,,77.79,,,0.001,0.002,0.0
TCA,North America,Turks and Caicos Islands,2022-05-03,5867.0,36.0,149569.163,917.759,39226,37.312,,,,,80.22,21.694025,-71.797928,0.001,0.001,0.001
BDI,Africa,Burundi,2022-05-03,38150.0,38.0,3112.906,3.101,12255429,423.062,17.5,2.562,1.504,0.8,61.58,-3.373056,29.918886,0.001,0.009,0.156
KNA,North America,Saint Kitts and Nevis,2022-05-03,5536.0,42.0,103387.741,784.372,53546,212.865,,,,2.3,76.23,17.357822,-62.782998,0.001,0.001,0.001
DMA,North America,Dominica,2022-05-03,11248.0,61.0,155849.914,845.203,72172,98.567,,,,3.8,75.0,15.414999,-61.370976,0.001,0.003,0.001
VGB,North America,British Virgin Islands,2022-05-03,6091.0,62.0,200210.367,2037.932,30423,207.973,,,,,79.07,18.420695,-64.639968,0.001,0.001,0.0
NZL,Oceania,New Zealand,2022-05-03,222767.0,65.0,43455.709,12.68,5126300,18.206,37.9,15.322,9.72,2.61,82.29,-40.900557,174.885971,0.001,0.05,0.065
ISL,Europe,Iceland,2022-05-03,140929.0,68.0,382136.814,184.386,368792,3.404,37.3,14.431,9.207,2.91,82.99,64.963051,-19.020835,0.001,0.032,0.005
STP,Africa,Sao Tome and Principe,2022-05-03,5939.0,72.0,26588.886,322.344,223364,212.841,18.7,2.886,2.162,2.9,70.39,,,0.001,0.001,0.003
