iso_code,continent,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,hospital_beds_per_thousand,life_expectancy,latitude,longitude,% of World Total Deaths,% of World Total Cases,% of World Population
SGP,Asia,Singapore,2022-05-03,819663.0,1073.0,150297.602,196.751,5453600,7915.731,42.4,12.922,7.049,2.4,83.62,1.352083,103.819836,0.018,0.184,0.07
HKG,Asia,Hong Kong,2022-05-03,440609.0,1774.0,58337.173,234.88,7552800,7039.714,44.8,16.303,10.158,,84.86,22.396428,114.109497,0.03,0.099,0.096
GIB,Europe,Gibraltar,2022-05-03,15609.0,101.0,463298.804,2997.833,33691,3457.1,,,,,79.93,36.137741,-5.345374,0.002,0.004,0.0
BHR,Asia,Bahrain,2022-05-03,525171.0,1458.0,300390.38,833.955,1748295,1935.907,32.4,2.372,1.387,2.0,77.29,25.930414,50.637772,0.024,0.118,0.022
MDV,Asia,Maldives,2022-05-03,172270.0,297.0,316894.154,546.338,543620,1454.433,30.6,4.12,2.875,,78.92,3.202778,73.22068,0.005,0.039,0.007
MLT,Europe,Malta,2022-05-03,71800.0,608.0,139120.326,1178.066,516100,1454.037,42.4,19.426,11.324,4.485,82.53,35.937496,14.375416,0.01,0.016,0.007
BMU,North America,Bermuda,2022-05-03,11634.0,123.0,187367.133,1980.932,62092,1308.82,,,,,82.59,32.321384,-64.75737,0.002,0.003,0.001
BGD,Asia,Bangladesh,2022-05-03,1946737.0,29077.0,11705.93,174.843,166303494,1265.036,27.5,5.098,3.262,0.8,72.59,23.684994,90.356331,0.485,0.438,2.121
SXM,North America,Sint Maarten (Dutch part),2022-02-25,,,,,43421,1209.088,,,,,78.95,,,,,0.001
PSE,Asia,Palestine,2022-05-03,649971.0,5557.0,124449.812,1063.998,5222756,778.202,20.4,3.043,1.726,,74.05,,,0.093,0.146,0.067
NRU,Oceania,Nauru,2022-01-18,,,,,10873,682.45,,,,5.0,59.96,-0.522778,166.931503,,,0.0
BRB,North America,Barbados,2022-05-03,56013.0,319.0,194686.974,1108.763,287708,664.463,39.8,14.952,9.473,5.8,79.19,13.193887,-59.543198,0.005,0.013,0.004
MUS,Africa,Mauritius,2022-05-03,70862.0,786.0,55646.648,617.232,1273428,622.962,37.4,10.945,5.884,3.4,74.99,-20.348404,57.552152,0.013,0.016,0.016
LBN,Asia,Lebanon,2022-05-03,1077242.0,10142.0,159139.898,1498.268,6769151,594.561,31.1,8.514,5.43,2.9,78.93,33.854721,35.862285,0.169,0.242,0.086
ABW,North America,Aruba,2022-05-03,33732.0,212.0,314678.856,1977.704,107195,584.8,41.2,13.085,7.452,,76.29,12.52111,-69.968338,0.004,0.008,0.001
SMR,Europe,San Marino,2022-05-03,14487.0,112.0,425962.952,3293.149,34010,556.667,,,,3.8,84.97,43.94236,12.457777,0.002,0.003,0.0
KOR,Asia,South Korea,2022-05-03,4456264.0,8957.0,86857.967,174.583,51305184,527.967,43.4,13.914,8.622,12.27,83.03,35.907757,127.766922,0.149,1.002,0.654
NLD,Europe,Netherlands,2022-05-03,6734097.0,21714.0,392130.678,1264.42,17173094,508.544,43.2,18.779,11.881,3.32,82.28,52.132633,5.291266,0.362,1.514,0.219
RWA,Africa,Rwanda,2022-05-03,129551.0,1458.0,9757.906,109.818,13276517,494.869,20.3,2.974,1.642,,69.02,-1.940278,29.873888,0.024,0.029,0.169
IND,Asia,India,2022-05-03,42962953.0,515036.0,30832.98,369.623,1393409033,450.419,28.2,5.989,3.414,0.53,69.66,20.593684,78.96288,8.595,9.657,17.767
COM,Africa,Comoros,2022-05-03,8047.0,160.0,9057.286,180.088,888456,437.352,20.4,2.963,1.726,2.2,64.32,-11.875001,43.872219,0.003,0.002,0.011
BDI,Africa,Burundi,2022-05-03,38150.0,38.0,3112.906,3.101,12255429,423.062,17.5,2.562,1.504,0.8,61.58,-3.373056,29.918886,0.001,0.009,0.156
ISR,Asia,Israel,2022-05-03,3669112.0,10274.0,394910.343,1105.801,9291000,402.606,30.6,11.733,7.359,2.99,82.97,31.046051,34.851612,0.171,0.825,0.118
HTI,North America,Haiti,2022-05-03,30385.0,823.0,2632.632,71.307,11541683,398.448,24.3,4.8,2.954,0.7,64.0,18.971187,-72.285215,0.014,0.007,0.147
BEL,Europe,Belgium,2022-05-03,3586292.0,30259.0,308303.733,2601.284,11632334,375.564,41.8,18.571,12.849,5.64,81.63,50.503887,4.469936,0.505,0.806,0.148
TUV,Oceania,Tuvalu,2021-10-22,,,,,11925,373.067,,,,,67.57,-7.109535,177.64933,,,0.0
CUW,North America,Curacao,2022-05-03,39133.0,264.0,237463.288,1601.981,164796,362.644,41.7,16.367,10.068,,78.88,,,0.004,0.009,0.002
PHL,Asia,Philippines,2022-05-03,3666678.0,56879.0,33019.181,512.207,111046910,351.873,25.2,4.803,2.661,1.0,71.23,12.879721,121.774017,0.949,0.824,1.416
JPN,Asia,Japan,2022-05-03,5341246.0,24816.0,42373.759,196.873,126050796,347.778,48.2,27.049,18.493,13.05,84.63,36.204824,138.252924,0.414,1.201,1.607
LKA,Asia,Sri Lanka,2022-05-03,649632.0,16321.0,30219.228,759.211,21497306,341.955,34.1,10.069,5.331,3.6,76.98,7.873054,80.771797,0.272,0.146,0.274
GRD,North America,Grenada,2022-05-03,13690.0,216.0,121134.363,1911.251,113015,317.132,29.4,7.304,5.021,3.7,72.4,12.262776,-61.604171,0.004,0.003,0.001
VNM,Asia,Vietnam,2022-05-03,4232520.0,40726.0,43114.704,414.857,98168829,308.127,32.6,7.15,4.718,2.6,75.4,14.058324,108.277199,0.68,0.951,1.252
SLV,North America,El Salvador,2022-05-03,156364.0,4086.0,23987.727,626.831,6518500,307.811,27.6,8.273,5.417,1.3,73.32,13.794185,-88.89653,0.068,0.035,0.083
MHL,Oceania,Marshall Islands,2022-05-03,7.0,,117.414,,59618,295.15,,,,2.7,73.7,7.131474,171.184478,,0.0,0.001
LCA,North America,Saint Lucia,2022-05-03,22733.0,360.0,123280.243,1952.267,184401,293.187,34.9,9.721,6.405,1.3,76.2,13.909444,-60.978893,0.006,0.005,0.002
VCT,North America,Saint Vincent and the Grenadines,2022-05-03,8316.0,106.0,74737.798,952.646,111269,281.787,31.8,7.724,4.832,2.6,72.53,12.984305,-61.287228,0.002,0.002,0.001
GBR,Europe,United Kingdom,2022-05-03,19172095.0,162152.0,281086.442,2377.347,68207114,272.898,40.8,18.517,12.527,2.54,81.32,55.378051,-3.435973,2.706,4.309,0.87
TTO,North America,Trinidad and Tobago,2022-05-03,129963.0,3652.0,92607.53,2602.3,1403374,266.886,36.2,10.014,5.819,3.0,73.51,10.691803,-61.222503,0.061,0.029,0.018
JAM,North America,Jamaica,2022-05-03,128166.0,2825.0,43103.292,950.071,2973462,266.879,31.4,9.684,6.39,1.7,74.47,18.109581,-77.297508,0.047,0.029,0.038
CYM,North America,Cayman Islands,2022-05-03,19373.0,17.0,291332.07,255.647,66498,256.496,,,,,83.92,19.513469,-80.566956,0.0,0.004,0.001
PAK,Asia,Pakistan,2022-05-03,1514258.0,30265.0,6724.061,134.392,225199929,255.573,23.5,4.495,2.78,0.6,67.27,30.375321,69.345116,0.505,0.34,2.872
DEU,Europe,Germany,2022-05-03,15830112.0,124107.0,188677.272,1479.217,83900471,237.016,46.6,21.453,15.957,8.0,81.33,51.165691,10.451526,2.071,3.558,1.07
LIE,Europe,Liechtenstein,2022-05-03,12833.0,78.0,335468.186,2039.002,38254,237.012,,,,2.397,82.49,47.166,9.555373,0.001,0.003,0.0
KWT,Asia,Kuwait,2022-05-03,622489.0,2544.0,143809.952,587.725,4328553,232.128,33.7,2.345,1.114,2.0,75.49,29.31166,47.481766,0.042,0.14,0.055
ATG,North America,Antigua and Barbuda,2022-05-03,7455.0,135.0,75510.493,1367.393,98728,231.845,32.1,6.933,4.631,3.8,77.02,17.060816,-61.796428,0.002,0.002,0.001
LUX,Europe,Luxembourg,2022-05-03,186360.0,996.0,293566.304,1568.964,634814,231.447,39.7,14.312,9.842,4.51,82.25,49.815273,6.129583,0.017,0.042,0.008
QAT,Asia,Qatar,2022-05-03,358083.0,670.0,122190.775,228.628,2930524,227.322,31.9,1.307,0.617,1.2,80.23,25.354826,51.183884,0.011,0.08,0.037
DOM,North America,Dominican Republic,2022-05-03,575883.0,4371.0,52574.223,399.043,10953714,222.873,27.6,6.981,4.419,1.6,74.08,18.735693,-70.162651,0.073,0.129,0.14
CHE,Europe,Switzerland,2022-05-03,2890568.0,13174.0,331658.538,1511.561,8715494,214.243,43.1,18.436,12.644,4.53,83.78,46.818188,8.227512,0.22,0.65,0.111
UGA,Africa,Uganda,2022-05-03,163383.0,3590.0,3467.121,76.183,47123533,213.759,16.4,2.168,1.308,0.5,63.37,1.373333,32.290275,0.06,0.037,0.601
KNA,North America,Saint Kitts and Nevis,2022-05-03,5536.0,42.0,103387.741,784.372,53546,212.865,,,,2.3,76.23,17.357822,-62.782998,0.001,0.001,0.001
STP,Africa,Sao Tome and Principe,2022-05-03,5939.0,72.0,26588.886,322.344,223364,212.841,18.7,2.886,2.162,2.9,70.39,,,0.001,0.001,0.003
NGA,Africa,Nigeria,2022-05-03,254637.0,3142.0,1204.523,14.863,211400704,209.588,18.1,2.751,1.447,,54.69,9.081999,8.675277,0.052,0.057,2.696
SYC,Africa,Seychelles,2022-05-03,39427.0,163.0,398614.902,1647.963,98910,208.354,36.2,8.606,5.586,3.6,73.4,-4.679574,55.491977,0.003,0.009,0.001
VGB,North America,British Virgin Islands,2022-05-03,6091.0,62.0,200210.367,2037.932,30423,207.973,,,,,79.07,18.420695,-64.639968,0.001,0.001,0.0
GMB,Africa,Gambia,2022-05-03,11948.0,365.0,4804.303,146.767,2486937,207.566,17.5,2.339,1.417,1.1,62.05,13.443182,-15.310139,0.006,0.003,0.032
ITA,Europe,Italy,2022-05-03,12990223.0,155782.0,215185.808,2580.562,60367471,205.859,47.9,23.021,16.24,3.18,83.51,41.87194,12.56738,2.6,2.92,0.77
NPL,Asia,Nepal,2022-05-03,977447.0,11945.0,32938.488,402.528,29674920,204.43,25.0,5.809,3.212,0.3,70.78,28.394857,84.124008,0.199,0.22,0.378
MWI,Africa,Malawi,2022-05-03,85411.0,2618.0,4347.129,133.247,19647681,197.519,18.1,2.979,1.783,1.3,64.26,-13.254308,34.301525,0.044,0.019,0.251
